id,text,image_url,type,min_value,max_value,price_unit,category,,
87,For how much would you prank call your boss?,,,0,100000,,Edgy,,
88,For how much would you wear a bikini/speedo to a serious meeting?,,,0,100000,,Edgy,,
89,For how much would you post a crying selfie with no context?,,,0,100000,,Edgy,,
90,For how much would you wear Crocs with socks on a first date?,,,0,100000,,Edgy,,
91,For how much would you sleep in a haunted place alone?,,,0,100000,,Edgy,,
92,For how much would you steal from a charity?,,,0,100000,,Ethics,,
93,For how much would you lie in court?,,,0,100000,,Ethics,,
94,For how much would you abandon a pet?,,,0,100000,,Ethics,,
95,For how much would you spread a false rumor?,,,0,100000,,Ethics,,
96,For how much would you destroy someone's reputation?,,,0,100000,,Ethics,,
97,For how much would you turn in a loved one to the police?,,,0,100000,,Ethics,,
98,For how much would you vote against your beliefs?,,,0,100000,,Ethics,,
99,For how much would you defend a policy you hate on TV?,,,0,100000,,Ethics,,
100,For how much would you campaign for a party you dislike?,,,0,100000,,Ethics,,
101,For how much would you join a cult for a year?,,,0,100000,,Ethics,,
102,For how much would you become a priest/monk/nun?,,,0,100000,,Ethics,,
103,For how much would you publicly switch to a political side you oppose?,,,0,100000,,Ethics,,
104,For how much would you donate your savings to a cause you don’t support?,,,0,100000,,Ethics,,
105,For how much would you sabotage someone else's campaign?,,,0,100000,,Ethics,,
106,For how much would you stage a protest for something absurd?,,,0,100000,,Ethics,,
107,For how much would you let a documentary crew follow you for a year?,,,0,100000,,Socials,,
108,For how much would you be on the cover of a magazine for something embarrassing?,,,0,100000,,Socials,,
109,For how much would you give a TED talk on something you hate?,,,0,100000,,Socials,,
110,For how much would you star in a reality show where you can't lie once?,,,0,100000,,Socials,,
111,For how much would you let people vote on your daily routine?,,,0,100000,,Socials,,
112,For how much would you go viral for something cringeworthy?,,,0,100000,,Socials,,
113,For how much would you leak your search history publicly?,,,0,100000,,Socials,,
114,For how much would you live one week where everything is narrated like a movie?,,,0,100000,,Absurd,,
115,For how much would you speak only in rhymes for a month?,,,0,100000,,Absurd,,
116,For how much would you live inside a video game world for one year?,,,0,100000,,Absurd,,
117,For how much would you swap voices with a stranger?,,,0,100000,,Absurd,,
118,For how much would you live with a talking pet who always criticizes you?,,,0,100000,,Absurd,,
119,How much money would you be willing to pay to remove the need for sleep?,,,0,100000,,Absurd,,
120,"For how much would you switch your name to ""Banana"" legally for 5 years?",,,0,100000,,Absurd,,
121,For how much would you replace your wardrobe with only medieval costumes?,,,0,100000,,Absurd,,
122,For how much would you live in a house made entirely of mirrors?,,,0,100000,,Absurd,,
123,For how much would you narrate your life out loud for a week?,,,0,100000,,Absurd,,
124,For how much would you eat a plate of insects?,,,0,100000,,Food,,
125,For how much would you drink a mystery smoothie with 10 random ingredients?,,,0,100000,,Food,,
126,For how much would you give up solid food for a month?,,,0,100000,,Food,,
127,"For how much would you eat the same meal for breakfast, lunch, and dinner for a year?",,,0,100000,,Food,,
128,For how much would you implant a chip to help research?,,,0,100000,,Absurd,,
129,For how much would you test an experimental teleportation device?,,,0,100000,,Absurd,,
130,For how much would you allow an AI to control your decisions for a week?,,,0,100000,,Absurd,,
131,For how much would you put a dildo in your luggage for the airport check?,,,0,100000,,NSFW / Spicy,,
132,For how much would you allow someone full access to your internal thoughts for a day?,,,0,100000,,Mind & Perception,,
133,For how much would you swap identities with a stranger for a month?,,,0,100000,,Mind & Perception,,
134,For how much would you forget the last 5 years of your life?,,,0,100000,,Mind & Perception,,
135,For how much would you answer “yes” to everything for a week?,,,0,100000,,Absurd,,
136,For how much would you wear a dinosaur costume for a month?,,,0,100000,,Absurd,,
137,For how much would you believe everything you hear for a month?,,,0,100000,,Mind & Perception,,
138,For how much would you lose your inner monologue?,,,0,100000,,Mind & Perception,,
139,For how much would you only see in black and white for a year?,,,0,100000,,Mind & Perception,,
140,For how much would you forget how to read?,,,0,100000,,Mind & Perception,,
141,For how much would you swap dreams with someone for a year?,,,0,100000,,Mind & Perception,,
142,For how much would you live with total amnesia for a year?,,,0,100000,,Mind & Perception,,
143,For how much would you only speak in third person forever?,,,0,100000,,Mind & Perception,,
144,For how much would you give away everything you own and start from scratch?,,,0,100000,,Absurd,,
145,For how much would you lose a friend?,,,0,100000,,Relationships,,
146,For how much would you sleep with a stranger?,,,0,100000,,NSFW / Spicy,,
147,For how much would you watch porn with your parents?,,,0,100000,,NSFW / Spicy,,
148,For how much would you flash someone in public?,,,0,100000,,NSFW / Spicy,,
149,For how much would you be celibate for 5 years?,,,0,100000,,NSFW / Spicy,,
150,For how much would you let your friends read your sexts?,,,0,100000,,NSFW / Spicy,,
151,For how much would you film a sex tape?,,,0,100000,,NSFW / Spicy,,
152,For how much would you try BDSM for a week?,,,0,100000,,NSFW / Spicy,,
153,For how much would you role-play as someone else in bed?,,,0,100000,,NSFW / Spicy,,
154,For how much would you go on a naked date?,,,0,100000,,NSFW / Spicy,,
155,For how much would you post a thirst trap on your most professional account?,,,0,100000,,NSFW / Spicy,,
156,For how much would you document online all of your dates?,,,0,100000,,Relationships,,
157,For how much would you let your best friend swipe for you on a dating app for a month?,,,0,100000,,Relationships,,
158,For how much would you admit your biggest romantic regret on camera?,,,0,100000,,Relationships,,
159,For how much would you attend a wedding and object—just for drama?,,,0,100000,,Relationships,,
160,For how much would you confess love to your ex?,,,0,100000,,Relationships,,
161,For how much would you never date again?,,,0,100000,,Relationships,,
162,For how much would you date someone twice your age?,,,0,100000,,Relationships,,
163,For how much would you let your parents choose your partner?,,,0,100000,,Relationships,,
164,For how much would you cheat?,,,0,100000,,Relationships,,
165,For how much would you never kiss anyone again?,,,0,100000,,Relationships,,
166,For how much would you fake a relationship for a year?,,,0,100000,,Relationships,,
167,For how much would you give up your friends for money?,,,0,100000,,Relationships,,
168,For how much would you fall in love with your best friend?,,,0,100000,,Relationships,,
169,For how much would you leave your partner?,,,0,100000,,Relationships,,
170,For how much would you fake a breakup for clout?,,,0,100000,,Relationships,,
171,For how much would you tell your crush you love them right now?,,,0,100000,,Relationships,,
172,For how much would you ghost someone you care about?,,,0,100000,,Relationships,,
173,For how much would you break up a couple you know?,,,0,100000,,Relationships,,
174,For how much would you marry someone just for money?,,,0,100000,,Relationships,,
175,For how much would you share your deepest secret with everyone here?,,,0,100000,,Relationships,,
176,For how much would you kill your friend?,,,0,100000,,Relationships,,
177,For how much would you tell your friend group who you like the least?,,,0,100000,,Relationships,,
178,For how much would you hug every person you meet for a day?,,,0,100000,,Relationships,,
179,For how much would you only communicate via memes for a week?,,,0,100000,,Relationships,,
180,For how much would you confess your biggest regret in public?,,,0,100000,,Relationships,,
181,For how much would you never be allowed to apologize again?,,,0,100000,,Relationships,,
182,For how much would you reveal your biggest lie?,,,0,100000,,Ethics,,
183,For how much would you lie under oath?,,,0,100000,,Ethics,,
184,For how much would you lie to your partner?,,,0,100000,,Ethics,,
185,For how much would you keep a criminal secret forever?,,,0,100000,,Ethics,,
186,For how much would you pretend to be someone else for a month?,,,0,100000,,Ethics,,
187,For how much would you blackmail someone?,,,0,100000,,Ethics,,
188,For how much would you frame someone innocent?,,,0,100000,,Ethics,,
189,For how much would you give up caffeine & sugar for a full year?,,,0,100000,,Food,,
190,For how much would you only speak when spoken to for a month?,,,0,100000,,Habits,,
191,For how much would you give up music completely for a decade?,,,0,100000,,Habits,,
192,For how much would you participate in Squid Game?,,,0,100000,,Series / Films,,
193,For how much would you separate your personal life and your professionnal life like in Severance?,,,0,100000,,Series / Films,,
194,For how much would you participate in Hunger Games?,,,0,100000,,Series / Films,,
195,For how much would you ruin your own reputation on purpose?,,,0,100000,,Socials,,
196,For how much would you reveal your financial situation online?,,,0,100000,,Socials,,
197,For how much would you act arrogantly for an entire year?,,,0,100000,,Socials,,
198,For how much would you compliment every single person you meet for a week?,,,0,100000,,Socials,,
199,For how much would you confess all your feelings to your crush in one go?,,,0,100000,,Socials,,
200,For how much would you reveal your biggest insecurity on social media?,,,0,100000,,Socials,,
201,For how much would you speak with zero filter for 24 hours straight?,,,0,100000,,Socials,,
202,For how much would you only speak in rhymes for a full week?,,,0,100000,,Socials,,
203,For how much would you tell everyone exactly what you think of them?,,,0,100000,,Socials,,
204,For how much would you be brutally honest in every situation for a month?,,,0,100000,,Socials,,
205,For how much would you delete all your social media accounts forever?,,,0,100000,,Socials,,
206,For how much would you like your crush’s old posts?,,,0,100000,,Socials,,
207,For how much would you give a stranger full access to your DMs?,,,0,100000,,Socials,,
208,For how much would you teleport randomly every 24h?,,,0,100000,,Absurd,,
209,For how much would you switch bodies with a stranger?,,,0,100000,,Absurd,,
210,For how much would you never see the sun again?,,,0,100000,,Absurd,,
211,For how much would you live like it's the 1800s?,,,0,100000,,Absurd,,
212,For how much would you time travel and stay there?,,,0,100000,,Absurd,,
213,For how much would you be filmed 24/7 for reality TV?,,,0,100000,,Absurd,,
214,For how much would you lick the floor of a public bathroom?,,,0,100000,,Absurd,,
215,For how much would you let someone control your life for a week?,,,0,100000,,Absurd,,
216,For how much would you live as the opposite gender for a year?,,,0,100000,,Absurd,,
217,For how much would you live in a haunted house for a year?,,,0,100000,,Absurd,,
218,For how much would you get cryogenically frozen for 100 years?,,,0,100000,,Absurd,,
219,For how much would you lose one of your five senses permanently?,,,0,100000,,Absurd,,
220,For how much would you become allergic to money?,,,0,100000,,Absurd,,
221,For how much would you grow a tail?,,,0,100000,,Absurd,,
222,For how much would you meditate in silence for 30 days?,,,0,100000,,Absurd,,
223,For how much would you wear a banana costume for a month?,,,0,100000,,Absurd,,
224,For how much would you take advice only from fortune cookies?,,,0,100000,,Absurd,,
225,For how much would you only eat food in alphabetical order?,,,0,100000,,Absurd,,
226,For how much would you live on a train that never stops?,,,0,100000,,Absurd,,
227,For how much would you live as a cartoon character?,,,0,100000,,Absurd,,
228,For how much would you clone yourself?,,,0,100000,,Absurd,,
229,For how much would you live on a boat for 5 years?,,,0,100000,,Absurd,,
230,For how much would you eat only one food for a year?,,,0,100000,,Absurd,,
231,For how much would you go on a spiritual pilgrimage barefoot?,,,0,100000,,Absurd,,
232,For how much would you create your own religion?,,,0,100000,,Absurd,,
233,For how much would you let a dice roll decide your fate each day?,,,0,100000,,Absurd,,
234,For how much would you travel to a random country and stay a year?,,,0,100000,,Travel,,
235,For how much would you swim across a crocodile-infested river?,,,0,100000,,Travel,,
236,For how much would you climb Mount Everest?,,,0,100000,,Travel,,
237,For how much would you hitchhike across a continent?,,,0,100000,,Travel,,
238,For how much would you live in Antarctica for a year?,,,0,100000,,Travel,,
239,For how much would you move every month forever?,,,0,100000,,Travel,,
240,For how much would you take a one-way ticket to Mars?,,,0,100000,,Travel,,
241,For how much would you live in the jungle without supplies?,,,0,100000,,Travel,,
242,For how much would you travel only by walking for a year?,,,0,100000,,Travel,,
243,For how much would you move somewhere where you don’t speak the language?,,,0,100000,,Travel,,
244,For how much would you travel with no map or phone for a year?,,,0,100000,,Travel,,
245,For how much would you live in the past for a year—with no modern technology?,,,0,100000,,Travel,,
246,For how much would you never travel more than 10km from your birthplace again?,,,0,100000,,Travel,,
247,For how much would you go back in time but never be able to return?,,,0,100000,,Travel,,
248,For how much would you be the only person who remembers a global historical event?,,,0,100000,,Absurd,,
249,For how much would you let a stranger read all your private messages out loud?,,,0,100000,,Socials,,
250,For how much would you be forced to answer every question honestly for a week?,,,0,100000,,Socials,,
251,For how much would you wear a live mic for 24 hours without turning it off?,,,0,100000,,Socials,,
252,For how much would you become a public enemy?,,,0,100000,,World Impact / Legacy,,
253,For how much would you be erased from history?,,,0,100000,,World Impact / Legacy,,
254,For how much would you own only 10 items for a year?,,,0,100000,,World Impact / Legacy,,
255,For how much would you give up music forever?,,,0,100000,,World Impact / Legacy,,
256,For how much would you never wear color again?,,,0,100000,,World Impact / Legacy,,
257,For how much would you eat the same meal every day for 2 years?,,,0,100000,,World Impact / Legacy,,
258,For how much would you never be photographed again?,,,0,100000,,World Impact / Legacy,,
259,For how much would you take credit for someone else’s major discovery?,,,0,100000,,World Impact / Legacy,,
260,For how much would you erase one invention from history—permanently?,,,0,100000,,World Impact / Legacy,,
261,For how much would you become the face of a controversial global movement?,,,0,100000,,World Impact / Legacy,,
262,For how much would you be remembered in history books only as a villain?,,,0,100000,,World Impact / Legacy,,
263,For how much would you be the most influential person alive—but unable to speak?,,,0,100000,,World Impact / Legacy,,
264,For how much would you change your nationality and identity every 5 years forever?,,,0,100000,,World Impact / Legacy,,
265,"For how much would you start a new civilization on another planet, knowing you can't return?",,,0,100000,,World Impact / Legacy,,
266,For how much would you destroy all your personal memories in exchange for global peace?,,,0,100000,,World Impact / Legacy,,
267,For how much would you give up your values?,,,0,100000,,Ethics,,
268,For how much would you fuck your best friend's partner?,,,0,100000,,NSFW / Spicy,,
269,For how much would you pee in the middle of a restaurant?,,,0,100000,,NSFW / Spicy,,
270,For how much would you steal a policeman's hat?,,,0,100000,,Absurd,,
271,For how much would you stay in the same city for your whole life?,,,0,100000,,Travel,,
272,For how much would you stop having sex?,,,0,100000,,NSFW / Spicy,,
273,For how much would you stop closing the bathroom door?,,,0,100000,,Absurd,,
274,For how much would you eat your shit?,,,0,100000,,NSFW / Spicy,,
275,For how much would you drink a glass of piss?,,,0,100000,,NSFW / Spicy,,
276,For how much would you eat someone's vomit?,,,0,100000,,NSFW / Spicy,,
277,For how much would you let someone throw up on you?,,,0,100000,,NSFW / Spicy,,
278,For how much would you eat a spider cobweb?,,,0,100000,,Nature,,
279,For how much would you let your partner sleep with a family member?,,,0,100000,,NSFW / Spicy,,
280,For how much would you sleep thrice your age?,,,0,100000,,NSFW / Spicy,,
281,For how much would you let a friend shoot you?,,,0,100000,,Absurd,,
